sequence,Restaurant_Name,Place_ID,Address,Category,"AI_Summary
_Pros",AI_Summary_Cons,Must_Try_Dishes,"Kaki_Maka
n_Tip
(Where the
Soul Is)",Status
1087,Sukho Thai,ChIJSa-5YMRozDER4kahaomMs1k,"Jalan Adenium 2G/9, Bukit Beruntung, 48300",Asian Restaurant,,,"Pad Thai, Tom Yum, Green Curry, Mango Sticky Rice",Unique dining experience worth exploring!,Processed
1088,Ali Nas,ChIJj_B-h89ozDERsS8-ep5qt4M,"Jalan Adenium 2G/8, Bukit Beruntung, 48300",Asian Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1089,Fathima,ChIJAXp9APJZzDERFhdbyUR9lSw,"Jalan Astana B13/B, Puncak Alam, 42300",Mamak,,,Local Specialties,Unique dining experience worth exploring!,Processed
1090,Sri Covai Restaurant,ChIJ1YyeauM2zDERSpWGNwufrmU,"41, Jalan Ampang",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1091,The Windmill Station,ChIJS7eoAfI1zDERNecpXdV4e6w,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1092,Kam Heong,ChIJ5WVsXn5LzDERsj4mnUpJAl4,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1093,Cavells,ChIJzcGi9-9IzDERElHVqUv7wDE,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1094,Kin San Kichi,ChIJz3rH8O9IzDER-x-zY2zr7wE,,Restaurant,,,"Sushi, Ramen, Tempura, Teriyaki",Unique dining experience worth exploring!,Processed
1095,Nam Heong,ChIJy9grhYVLzDERdWGlVhGS_ig,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1096,Naughty Babe Dirty Duck,ChIJCZEG4-9IzDERASG3FX3HQS4,"42, Jalan 25/70A, 50480",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1097,Dae Sa Kwan,ChIJ1TYa_e9IzDERHyWs6ThqZxI,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1098,Pelita,ChIJU9fzNtY3zDERhISIlfr5aqE,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1099,Haja's Cafe,ChIJwfrhPsRLzDERlnivJdtygFg,Petaling Jaya,Cafe,,,"Coffee, Pastries, Sandwiches, Cakes",Unique dining experience worth exploring!,Processed
1100,Yusoof Dan Zakhir,ChIJic7HM9BJzDERsSzd_Rjbxlk,"44;46, Jalan Hang Kasturi, Kuala Lumpur, 50050",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1101,森林餐厅 - Xing's Restaurant,ChIJs8DtB4z0zDERhvqP5yAKnAk,"17, Jalan Medan Niaga 7, Kuala Selangor, 45000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1102,Restoran Kumar,ChIJfShiWVdXyjER1gyqKEpS07c,Cameron Highlands,Indian Restaurant,,,"Biryani, Roti Canai, Fish Curry, Tandoori",Rich aromatic spices and authentic Indian flavors - spice lovers paradise!,Processed
1103,Hong Kong Restaurant,ChIJT1_CUSw2zDER2vygjFUMQS8,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1104,Restoran Sri Brinchang,ChIJN2GsrChYyjERd9L-3UX82Zc,Cameron Highlands,Indian Restaurant,,,"Biryani, Roti Canai, Fish Curry, Tandoori",Rich aromatic spices and authentic Indian flavors - spice lovers paradise!,Processed
1105,Nasi Kandar Mamu Ismail,ChIJzV-ZzIdXyjERbUO4ghzlCTA,Cameron Highlands,Mamak,,,Local Specialties,Unique dining experience worth exploring!,Processed
1106,Sheng Ming,ChIJhfUgFihYyjERjBZEBV6THvg,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1107,Sun Tuck Kee,ChIJJzYLhWTsyjERqQDGbkLxhrc,"61, Jalan Yau Tet Shin, Ipoh, 30300",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1108,Nasmir Nasi Kandar Lagenda Height,ChIJZ7wXrSa3SjARHDcnoj521xY,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1109,LeBoss Restaurant,ChIJzbrzwbspSzARg2Pt_oMkKV0,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1110,Nasi Lemak Cinta Sayang,ChIJmbVdX5ZNzDERnfIf_mv4ubA,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1111,Giannie's Trattoria,ChIJZ-SK3yht2jERvQr2ZmF2HCY,"110, 110 Jalan Serampang, Taman Pelangi, 80400",Western Restaurant,,,"Pizza, Pasta, Risotto, Gelato",Unique dining experience worth exploring!,Processed
1112,Rosmarino,ChIJUztqtNcS2jERIVsilnacAXg,"65, Jalan Kuning 2, Johor Bahru, 80400",Western Restaurant,,,"Pizza, Pasta, Risotto, Gelato",Unique dining experience worth exploring!,Processed
1113,Hameediyah Tandoori House,ChIJi7WDMJfDSjARcGDxELYEhsA,"156, Cambell Street, Georgetown, 10100",Indian Restaurant,,,"Biryani, Roti Canai, Fish Curry, Tandoori",Rich aromatic spices and authentic Indian flavors - spice lovers paradise!,Processed
1114,鴻运軒,ChIJW070ZIg3zDERyiLWzoo9H-c,,Chinese Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1115,Mamak Abc,ChIJm-_4d3dKzDERIuQP5Cq4xI0,,Mamak,,,"Roti Canai, Teh Tarik, Mee Goreng, Maggi Goreng",24/7 Malaysian-Indian fusion - perfect for late night cravings!,Processed
1116,Restaurant Seng Kee,ChIJfdeVKEpJzDERg2Z7gfrW2Nw,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1117,Pat Kin Pat San,ChIJHUa1Y2w2zDERvM0c1KU97n0,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1118,JC Deli Eatery,ChIJDTTn2vI1zDERRnEaBpLyi9c,"21, Jalan 33/154, Kuala Lumpur, 56000",Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
1119,Faizul Maju,ChIJsWk0rZ9FzDERsxNphYAMvaE,"69, Jalan Nautika B U20/B",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1120,Restoran Leko,ChIJURDQ3dSzzTER53XE1rTz_g0,,Asian Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1121,Veloo Villas,ChIJOcpGKRXASjARKTDs9hrr6js,,Indian Restaurant,,,"Biryani, Roti Canai, Fish Curry, Tandoori",Rich aromatic spices and authentic Indian flavors - spice lovers paradise!,Processed
1122,Restaurant Ming Cheong,ChIJl7WgRJyRyjERdZ_KAYEiaXk,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1123,Gou Lou,ChIJCxb-oL9JzDERz8krUhIpz8o,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1124,Ibrahim,ChIJLTyldg9HzDERiqOjBnsQBuo,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1125,Sanuki Udon,ChIJDWIQkh9KzDERGkkargwydAA,"25A, Jalan Bukit Desa 5, Kuala Lumpur, 58100",Restaurant,,,"Sushi, Ramen, Tempura, Teriyaki",Unique dining experience worth exploring!,Processed
1126,Pizza Hut,ChIJ4UByWkNLzDERuaAb4h6k0MQ,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1127,Nasi Kandar D'Tanjong,ChIJNQcl2QNLzDERAKx25MD8S3o,Petaling Jaya,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
1128,Nusantara Restaurant,ChIJz6RkOGhJzDER0ZCjjAj8EmM,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1129,Nasi Ayam Nash,ChIJ1ZMomSk2zDERtdTU18-ORsE,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1130,Vinod Curry House,ChIJjfbYLHFJzDERWFYyTAqL0hE,,Indian Restaurant,,,"Biryani, Roti Canai, Fish Curry, Tandoori",Rich aromatic spices and authentic Indian flavors - spice lovers paradise!,Processed
1131,Mafana,ChIJ1TdVv_CzzTERM6bgkxcepnE,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1132,Pelita,ChIJU9fzNtY3zDERhISIlfr5aqE,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1133,Nasi Kandar Maju Ahammad,ChIJl_DOxw0syzERB6uqwIlwBAs,,Indian Restaurant,,,"Biryani, Roti Canai, Fish Curry, Tandoori",Rich aromatic spices and authentic Indian flavors - spice lovers paradise!,Processed
1134,Kwong Chow,ChIJKTtCEFhKzDERob5EvRTJVCw,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1135,Double Nine,ChIJMzKaMPrkUqERseVaC5KcyfY,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1136,New Sun Ho,ChIJo9niGFhKzDERz0NqL63850w,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1137,OUG Lucky,ChIJWQoiIVhKzDERhy61W2DFWQE,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1138,Sri Steven's Corner,ChIJU_XC1VlKzDER5DrM9OdVu20,,Indian Restaurant,,,"Biryani, Roti Canai, Fish Curry, Tandoori",Rich aromatic spices and authentic Indian flavors - spice lovers paradise!,Processed
1139,Joo Hing,ChIJ7eNx8ldKzDERa9Dnk9pnraw,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1140,Kopitan Classic Penang Passion,ChIJy6-rVgfBSjARVNQhIUxZEVg,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1141,Kenny Rogers Roasters,ChIJxQf5s4Y1zDERtrKepaYnTrw,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1142,Restoran Yan Yang A One,ChIJ4w7JMTpKzDERyslIx-tW-cc,"Jalan Klang Lama, Kuala Lumpur",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1143,Der Cabin Bistro,ChIJMQpPy-Bq2jERjA3vEjRDoVY,"Jalan Suria 1, Masai, 81750",Western Restaurant,,,"Grilled Steak, Fish & Chips, Pasta, Burger",Unique dining experience worth exploring!,Processed
1144,Burger King Seri Alam,ChIJJZyahuBq2jERPLfc_am2IRY,"Jalan Suria 1, Masai, 81750",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1145,Subway Seri Alam,ChIJRaQChOBq2jERRhwpIfMxEyw,"Jalan Suria 1, Masai, 81750",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1146,Tea Garden Seri Alam,ChIJ3w5SiuBq2jERv9mW-jDKHeY,"Jalan Suria 1, Masai, 81750",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1147,Mamak Kandar,ChIJB6BcjhizzTERwSROXdQcuSk,"No. 41, Jalan Anggerik Vanilla X/31, Kota Kemuning, Shah Alam, 40460",Malaysian Restaurant,,,"Roti Canai, Teh Tarik, Mee Goreng, Maggi Goreng",24/7 Malaysian-Indian fusion - perfect for late night cravings!,Processed
1148,Asam Pedas,ChIJJf3PfUI2zDERrDLUndgoih4,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1149,Pizza Hut,ChIJ4UByWkNLzDERuaAb4h6k0MQ,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1150,Sushi Zanmai,ChIJwQpBCyw2zDERRzLnhnZwFLI,Kuala Lumpur,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1151,Stadium Curry House,ChIJud-q9iyzzTERuZduVNkjVH4,,Indian Restaurant,,,"Biryani, Roti Canai, Fish Curry, Tandoori",Rich aromatic spices and authentic Indian flavors - spice lovers paradise!,Processed
1152,Jin Chou,ChIJhSa0L_hKzDER14wEXE7O_F8,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1153,Yaya,ChIJpwT1XoBLzDERnSdJcAT_vPY,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
1154,K R Mani Curry House,ChIJq99BjBNIzDERrivkYBppAbU,,Indian Restaurant,,,"Biryani, Roti Canai, Fish Curry, Tandoori",Rich aromatic spices and authentic Indian flavors - spice lovers paradise!,Processed
1155,Barakath Corner,ChIJdw9KzTZHzDER1gRPUtbVP5c,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1156,The Oriental Food,ChIJmRusXxxGzDERFZfe3TbUqzM,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1157,Fatt Kee Kepong,ChIJK1ZEWhxGzDERVpE0-AIcEP4,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1158,Ful Lai,ChIJe1bSg2xKzDERjf7pcr5Oahg,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1159,Mo Mo Paradise,ChIJAfq3BaNLzDERDZpl0ZI0Km0,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1160,Brilliant Noodle House,ChIJR029UxxGzDER0RcPwJv9Sjo,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1161,Ketam Steamboat Seafood,ChIJ6Xi_sIo2zDERr4Pj60CIFg0,,Restaurant,,,"Chili Crab, Steamed Fish, Grilled Prawns",Fresh seafood prepared with local cooking styles - must try!,Processed
1162,CEO Burger,ChIJeevp_qPHSjAR1JfZmL_rItI,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1163,I Love YumCha,ChIJr4lf1eZLzDERGM9k4NcAiu0,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1164,Yong Tou Foo Chan Chan,ChIJZzFPyx1GzDERX9fVJdNmXNQ,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1165,I Village Steamboat,ChIJIQORGFVLzDERjO_eGJWt4g4,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1166,Jom Sedap,ChIJK_1zHhVLzDERPvt3lB2yL-Y,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1167,ToKii Sushi,ChIJDd6ZzA9HzDER6b_1dnGy0DA,"48, Jalan 8/62A, Kuala Lumpur, 52200",Restaurant,,,"Sushi, Ramen, Tempura, Teriyaki",Unique dining experience worth exploring!,Processed
1168,Home Town Steamboat,ChIJVyD5tR1GzDERk-gTvOBQ0KQ,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1169,Tai Tao (Big Head) Steamboat,ChIJh04w7BdHzDER6TiJEOjcd68,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1170,Janwa Thai,ChIJD-Cmsx1GzDERMoKYH_AzZh4,,Asian Restaurant,,,"Pad Thai, Tom Yum, Green Curry, Mango Sticky Rice",Unique dining experience worth exploring!,Processed
1171,New High Lite Seafood,ChIJZ4S8obQ1zDERY836jot3-hk,,Restaurant,,,"Chili Crab, Steamed Fish, Grilled Prawns",Fresh seafood prepared with local cooking styles - must try!,Processed
1172,Ah Fatt,ChIJW7gnbPBLzDERPsE3UzT7eHo,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1173,D'Fortune,ChIJSUZe8xxGzDERpOj2w9tFdYg,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1174,Golden Sweet Home,ChIJ5RuYDiNZyjER5onUSnJcRhE,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1175,Ikar,ChIJzwcb3yJIzDER5RrTd6ZmRx4,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1176,New Neighbour,ChIJfQfyBGdKzDERSlq7VJds8Pg,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1177,Double One,ChIJo4gjPgBPzDER_oQdk-s_wzg,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1178,Kee Hiong Klang Bak Kut Teh,ChIJG-cTK1JJzDERJdtFk1By_9A,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1179,Lim's Kitchen,ChIJjc7WXRxGzDERdxXNN_PmTPw,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1180,Heng Kee Delights Bak Kut Teh,ChIJq3RY9BxGzDER9mrk6Yzicyw,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1181,Homeli Tasti Food,ChIJU0jMzIJMzDERTYmB_Nak8Yk,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1182,Theme,ChIJ80dyxB1GzDER7mdDt4ZNezs,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1183,Eden Dim Sum City,ChIJ2foazR1GzDERXXsz1_jyN_4,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1184,Foh Xin Vegetarian,ChIJRd8VZddJzDER1qsO0qwJV7A,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1185,Family,ChIJwas8MtDLzTERW-FUB3z-ey8,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1186,Deng Feng Hiong Bakuteh,ChIJ141uHdBLzDERgluqAskzl7c,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1187,Gong Yuan Lou,ChIJTbsi1gpLzDERAfQRei3sNXs,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1188,Kiraku Japanese,ChIJDy2tgvi2zTERtt-UVwbcpG4,,Restaurant,,,"Sushi, Ramen, Tempura, Teriyaki",Unique dining experience worth exploring!,Processed
1189,Sharfudeen,ChIJ1RMNSzFJzDEREoK85x-qZDM,Petaling Jaya,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
1190,Ho Say Klang Bah Kut Teh,ChIJaaiC_05TzDERMdeT6RprJl4,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1191,Pizza Hut,ChIJ4UByWkNLzDERuaAb4h6k0MQ,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1192,Shiang Hee,ChIJdWs3oR1GzDERt1pSB2tqxag,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1193,Restoran Malabar,ChIJF3p-NvdIzDERZG9qGqV3eGA,Kuala Lumpur,Mamak,,,Local Specialties,Unique dining experience worth exploring!,Processed
1194,Anis Putri Corner,ChIJoeBLKDZKzDERGLjL8niKlT0,Kuala Lumpur,Malaysian Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1195,Kak Ram,ChIJBXSmLzZKzDERhL9KCtevpBg,Kuala Lumpur,Malaysian Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1196,Al Mashur,ChIJ8WOLmTe50TER0SpphFRwe9g,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1197,Tai Wah,ChIJiwvxc4q_SjARRyIFE2I6rl8,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1198,Restoran Fei Por,ChIJ62Yi4SY2zDERS-IIVwWtq0M,"211-213, Jalan Pudu",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1199,Ah Pek Kopitiam,ChIJ1bb8o_ZLzDERe47zdqI0uVw,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
1200,V Inn,ChIJvRAz34E1zDERTh7dCKeIDbk,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1201,Sisters Kopitiam,ChIJ51V1yjpJzDERrmaNIqzfCzs,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1202,Gold Chilli,ChIJp1fEtlhMzDERmBogul_DeAA,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1203,Tiara Restaurant,ChIJeaKXGINJzDERefF8PuUi6R0,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1204,Il Bacaro,ChIJVcpn15DDSjAREk_X0qvupTw,,Western Restaurant,,,"Pizza, Pasta, Risotto, Gelato",Unique dining experience worth exploring!,Processed
1205,Local Best,ChIJEfzRSaFu2jERWPq9WTzFy9k,Jalan Permatang 5,Asian Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1206,Antipodean,ChIJq7lGYc43zDERkIByBKYfeOg,"Menara Tan & Tan, Jalan Tun Razak, Kuala Lumpur, 50450",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1207,Tree Monkey Restaurant,ChIJy5hU-TtKzDERl21mbblOttw,,Asian Restaurant,,,"Pad Thai, Tom Yum, Green Curry, Mango Sticky Rice",Unique dining experience worth exploring!,Processed
1208,Souled Out,ChIJlRmxwO9IzDERgKO_AmGNxME,Kuala Lumpur,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1209,Streat Thai,ChIJY_vvL1xJzDERvl1kB5T2cQs,,Asian Restaurant,,,"Pad Thai, Tom Yum, Green Curry, Mango Sticky Rice",Unique dining experience worth exploring!,Processed
1210,Sany Cafe Char Koay Teow,ChIJWQb6NlJLzDERw7Z-wwIFbhg,"Jalan Kerinchi, Kuala Lumpur",Cafe,,,"Coffee, Pastries, Sandwiches, Cakes",Unique dining experience worth exploring!,Processed
1211,Ajisen,ChIJ7yHCagWn-zERQuLqULOuoCQ,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1212,Kenny Rogers,ChIJxQf5s4Y1zDERtrKepaYnTrw,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1213,Shilin,ChIJ449lb-dLzDERMVqrqJU-jNM,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1214,Sushi King,ChIJH07wKW9LzDERMLPb5NQghos,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1215,Ying Ker Lou,ChIJU22wabtLzDERFXrrVsm21As,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1216,Warong Warisan Citara,ChIJVVVVVVWszTERMLMSOSMTjcc,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
1217,Satay Samuri,ChIJLfsMBnjLzTERtdp6inQSMEM,,Malaysian Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1218,Pizza Hut,ChIJV-O-ZxDnyjERFfn7Y80MzMc,Batu Gajah,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1219,Gurney Delight,ChIJJ4Vj44-yzTER82vE83O0Eno,"15G, Jalan Anggerik Vanilla U31/U, Kota Kemuning, Shah Alam, 40460",Chinese Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1220,Restoran Ameer Ehsan,ChIJj_ocmFuzzTERlKBX0AhhGVY,"2, Jalan Anggerik Aranda C31/C, Kota Kemuning, Shah Alam, 40460",Malaysian Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1221,Kafe Tanjung,ChIJM_Kf9h_DSjARBkiuzoirZ8c,"125-D, Desa Tanjung, Jalan Tanjung Tokong, Tanjung Tokong, Penang, 10470",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1222,Pak Tam,ChIJobbOlsE3zDERsYcWtBSHcLQ,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1223,Porto Romano,ChIJlQJc0YxIzDERgiuxRkgJwFk,,Western Restaurant,,,"Pizza, Pasta, Risotto, Gelato",Unique dining experience worth exploring!,Processed
1224,Sentul Ah Yap Hokkien Mee,ChIJGTKs-Q5IzDER0f0KkVpAWrg,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1225,Chew Sang Bak Kut Teh,ChIJmzE0iKROzDERMJ53nZFs2Vo,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1226,Kedai Kopi Fui Chew,ChIJPeSndGFLzDERgHEpp2IE1oE,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
1227,RB Bistro,ChIJWz6KTpnJzTER7f5Onn5QV0w,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
1228,Thai Mom Thai Seafood Restaurant,ChIJn9uv3gFLzDEREkmZQzKBXT8,,Restaurant,,,"Pad Thai, Tom Yum, Green Curry, Mango Sticky Rice",Fresh seafood prepared with local cooking styles - must try!,Processed
1229,Boat Restaurant,ChIJs5MW3K9LzDER6SV3ad-jT00,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
1230,Deng Long Seafood,ChIJC0kubkpGzDERnEmOGZNNKZw,,Restaurant,,,"Chili Crab, Steamed Fish, Grilled Prawns",Fresh seafood prepared with local cooking styles - must try!,Processed
1231,Maya Restaurant,ChIJbV8bKn5JzDERHdkEtVLPpbQ,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
